"vendor_name","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code","store_and_fwd","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","total_amount","improvement_surcharge","congestion_surcharge","pickup_location_id","dropoff_location_id","month"
,2021-01-30 10:07:28.000,2021-01-30 10:41:12.000,,10.34,,,,,,,,43.2,0,0.5,0,0,46.5,0.3,2.5,211,22,1
"CMT",2021-01-31 15:36:30.000,2021-01-31 15:46:32.000,1,2.5,,,"Standard rate","No",,,"Credit card",10,2.5,0.5,1.2,0,14.5,0.3,2.5,137,236,1
"VTS",2021-01-15 07:36:46.000,2021-01-15 07:43:31.000,2,1.38,,,"Standard rate","No",,,"Cash",7,0,0.5,0,0,10.3,0.3,2.5,233,140,1
"VTS",2021-01-27 10:59:07.000,2021-01-27 11:08:17.000,1,1.04,,,"Standard rate","No",,,"Credit card",7.5,0,0.5,2.16,0,12.96,0.3,2.5,163,229,1
"VTS",2021-01-16 10:20:58.000,2021-01-16 10:25:57.000,2,1.16,,,"Standard rate","No",,,"Cash",6,0,0.5,0,0,9.3,0.3,2.5,48,142,1
"CMT",2021-01-04 12:30:46.000,2021-01-04 12:36:41.000,1,1.1,,,"Standard rate","No",,,"Credit card",6.5,0,0.5,1,0,8.3,0.3,0,41,42,1
"VTS",2021-01-08 16:03:56.000,2021-01-08 16:07:55.000,2,0.65,,,"Standard rate","No",,,"Credit card",4.5,1,0.5,1.32,0,10.12,0.3,2.5,107,137,1
"CMT",2021-01-26 20:38:06.000,2021-01-26 20:41:49.000,1,0.8,,,"Standard rate","No",,,"Credit card",5,3,0.5,1.75,0,10.55,0.3,2.5,164,68,1
"CMT",2021-01-23 17:37:51.000,2021-01-23 17:51:32.000,1,2.3,,,"Standard rate","No",,,"Credit card",11,3.5,0.5,1.5,0,16.8,0.3,2.5,144,246,1
,2021-01-19 11:50:22.000,2021-01-19 12:39:04.000,,16.58,,,,,,,,47.08,2.75,0.5,0,6.12,56.75,0.3,0,116,71,1
"VTS",2021-01-22 17:48:30.000,2021-01-22 17:52:26.000,1,0.46,,,"Standard rate","No",,,"Credit card",4.5,1,0.5,2,0,10.8,0.3,2.5,164,137,1
"VTS",2021-01-22 17:17:39.000,2021-01-22 17:27:37.000,1,1.48,,,"Standard rate","No",,,"Cash",8.5,1,0.5,0,0,12.8,0.3,2.5,107,249,1
"CMT",2021-01-09 07:42:40.000,2021-01-09 08:11:31.000,0,16,,,"Standard rate","No",,,"Cash",45.5,2.5,0.5,0,0,48.8,0.3,2.5,234,11,1
,2021-01-02 09:44:25.000,2021-01-02 09:54:00.000,,1.97,,,,,,,,18.65,0,0.5,2.75,0,22.2,0.3,0,61,97,1
"VTS",2021-01-14 08:28:55.000,2021-01-14 08:34:32.000,1,0.87,,,"Standard rate","No",,,"Credit card",6,0,0.5,2,0,11.3,0.3,2.5,43,239,1
"VTS",2021-01-28 14:47:08.000,2021-01-28 14:54:26.000,1,1.02,,,"Standard rate","No",,,"Cash",7,0,0.5,0,0,10.3,0.3,2.5,236,237,1
"CMT",2021-01-29 09:25:03.000,2021-01-29 09:33:27.000,1,1.2,,,"Standard rate","No",,,"Credit card",7.5,2.5,0.5,2.15,0,12.95,0.3,2.5,233,164,1
"VTS",2021-01-21 10:24:02.000,2021-01-21 10:34:39.000,3,2.11,,,"Standard rate","No",,,"Credit card",9.5,0,0.5,1,0,13.8,0.3,2.5,170,140,1
"VTS",2021-01-29 14:59:38.000,2021-01-29 15:18:54.000,2,1.12,,,"Standard rate","No",,,"Credit card",12.5,0,0.5,3.16,0,18.96,0.3,2.5,141,229,1
"VTS",2021-01-21 15:42:52.000,2021-01-21 15:52:26.000,1,0.79,,,"Standard rate","No",,,"Cash",7.5,0,0.5,0,0,10.8,0.3,2.5,142,239,1
"VTS",2021-01-20 19:37:52.000,2021-01-20 19:49:37.000,2,2.83,,,"Standard rate","No",,,"Cash",11,1,0.5,0,0,15.3,0.3,2.5,231,48,1
"VTS",2021-01-05 15:40:40.000,2021-01-05 15:49:55.000,1,1.75,,,"Standard rate","No",,,"Credit card",8.5,0,0.5,10,0,21.8,0.3,2.5,238,143,1
"VTS",2021-01-12 17:20:16.000,2021-01-12 17:29:10.000,3,1.79,,,"Standard rate","No",,,"Cash",8.5,1,0.5,0,0,12.8,0.3,2.5,166,238,1
"VTS",2021-01-06 11:57:30.000,2021-01-06 12:07:42.000,2,1.7,,,"Standard rate","No",,,"Credit card",9,0,0.5,1.23,0,13.53,0.3,2.5,238,143,1
"VTS",2021-01-09 17:51:18.000,2021-01-09 18:00:49.000,6,1.91,,,"Standard rate","No",,,"Cash",9,0,0.5,0,0,12.3,0.3,2.5,90,246,1
"VTS",2021-01-06 07:30:32.000,2021-01-06 07:35:55.000,1,1.72,,,"Standard rate","No",,,"Cash",7,0,0.5,0,0,10.3,0.3,2.5,239,50,1
